title,date,url,hotfix_counter,ranked_or_progression_changed,matchmaking_changed,new_mode,mode_removed,mode_changes,battlepass_or_event_added,cosmetics_added,new_map_or_variation,map_changes,modifiers_or_destruction_changes,bug_fixes,servers_changed,qol_additions,optimization_changes,buffs,nerfs,weapon_gadget_spec_added,gameplay_changes,weapon_gadget_spec_removed
Update 5.10.0,2025-02-19,https://www.reachthefinals.com/patchnotes/5100,,,,,,,,1,,,1,21,1,1,6,3,2,,4,1
Update 5.9.0,2025-02-12,https://www.reachthefinals.com/patchnotes/590,,,,1,,,,1,,,,,,,,2,1,,,
Mid-Season Update 5.8.0,2025-02-05,https://www.reachthefinals.com/patchnotes/580,1,,,,,3,1,1,,1,4,41,,3,12,22,11,,2,
Store Update 5.7.0,2025-01-29,https://www.reachthefinals.com/patchnotes/570,,,,,,,,1,,,,1,,,,,,,,
Update 5.6.0,2025-01-22,https://www.reachthefinals.com/patchnotes/560,1,,,,,2,,1,1,,,16,,3,5,1,,,4,
Store Update 5.5.0,2025-01-15,https://www.reachthefinals.com/patchnotes/550,,,,,,,,1,,,1,1,,,,,,,,
Update 5.4.0,2025-01-09,https://www.reachthefinals.com/patchnotes/540,,1,,,,,,1,,,1,18,,1,3,1,,,,
Update 5.3.0,2025-01-02,https://www.reachthefinals.com/patchnotes/530,,,,,1,,,1,,,,,,,,,,,,
Update 5.2.0,2024-12-26,https://www.reachthefinals.com/patchnotes/520,,1,,,,,,1,,,,2,,,,,,,,
Update 5.1.0,2024-12-18,https://www.reachthefinals.com/patchnotes/510,,,,1,,,1,1,1,,1,24,,4,3,,1,,,
SEASON 5: NEXT STAGE STARTS NOW,2024-12-12,https://www.reachthefinals.com/patchnotes/500,,1,1,,,3,1,1,1,2,1,30,,16,10,23,4,4,9,
Update 4.10.0,2024-12-04,https://www.reachthefinals.com/patchnotes/4100,,,,,,,,1,,,,,,,,,,,,
Update 4.9.0,2024-11-27,https://www.reachthefinals.com/patchnotes/490,,,,,,,,1,,,,5,,,1,2,1,,,
Update 4.8.0,2024-11-20,https://www.reachthefinals.com/patchnotes/480,,,,,,,1,1,1,,1,17,,4,3,,,,1,
Update 4.7.0,2024-11-13,https://www.reachthefinals.com/patchnotes/470,,,,,,,,1,,,,,,,,,,,,
